Date : 2024-01-11 08:55:57
Directory : /Users/andrearizza/Desktop/react/gitreact/we-hub-react/src
Total : 185 files,  22699 codes, 1966 comments, 4294 blanks, all 28959 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        143 |     20,397 |      1,929 |      3,869 |     26,195 |
| CSS            |         30 |      1,981 |         10 |        370 |      2,361 |
| JavaScript     |         11 |        318 |         27 |         54 |        399 |
| XML            |          1 |          3 |          0 |          1 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        185 |     22,699 |      1,966 |      4,294 |     28,959 |
| . (Files)                                                                                                                |          9 |        211 |         15 |         35 |        261 |
| components                                                                                                               |         95 |     13,342 |        930 |      2,046 |     16,318 |
| components (Files)                                                                                                       |         33 |      4,993 |        350 |        706 |      6,049 |
| components/button                                                                                                        |         17 |        457 |          0 |         72 |        529 |
| components/card                                                                                                          |          6 |        322 |          0 |         23 |        345 |
| components/componentiBackup                                                                                              |         18 |      3,985 |        394 |        773 |      5,152 |
| components/componentiReduxProva                                                                                          |          4 |        592 |         63 |        137 |        792 |
| components/searchBox                                                                                                     |         17 |      2,993 |        123 |        335 |      3,451 |
| images                                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| pages                                                                                                                    |         49 |      7,107 |      1,003 |      1,836 |      9,946 |
| pages (Files)                                                                                                            |         17 |      2,050 |        284 |        399 |      2,733 |
| pages/AggiungiPagine                                                                                                     |         13 |      1,698 |        515 |        597 |      2,810 |
| pages/DettaglioPagine                                                                                                    |          9 |      1,797 |         85 |        449 |      2,331 |
| pages/ModificaPagine                                                                                                     |         10 |      1,562 |        119 |        391 |      2,072 |
| store                                                                                                                    |          3 |         73 |          8 |         13 |         94 |
